theta,time,x,y
0.0,1741188061.0740619,0.0,0.0
0.0,1741188061.0840323,0.0,0.0
0.0,1741188061.0940475,0.0,0.0
0.0,1741188061.1040008,0.0,0.0
0.0,1741188061.120741,0.0,0.0
0.0,1741188061.123991,0.0,0.0
0.0,1741188061.13403,0.0,0.0
0.0,1741188061.1440597,0.0,0.0
0.0,1741188061.155542,0.0,0.0
0.0,1741188061.165543,0.0,0.0
0.0,1741188061.1741142,0.0,0.0
0.0,1741188061.1840036,0.0,0.0
0.0,1741188061.1940017,0.0,0.0
0.0,1741188061.2040336,0.0,0.0
0.0,1741188061.2141542,0.0,0.0
0.0,1741188061.2240577,0.0,0.0
0.0,1741188061.2346394,0.0,0.0
0.0,1741188061.2440221,0.0,0.0
0.0,1741188061.2540076,0.0,0.0
0.0,1741188061.2645109,0.0,0.0
0.0,1741188061.2756903,0.0,0.0
0.0,1741188061.2848585,0.0,0.0
0.0,1741188061.2940168,0.0,0.0
0.0,1741188061.3046324,0.0,0.0
0.0,1741188061.3142366,0.0,0.0
0.0,1741188061.3242269,0.0,0.0
0.0,1741188061.334612,0.0,0.0
0.0,1741188061.34456,0.0,0.0
0.0,1741188061.3551958,0.0,0.0
0.0,1741188061.3642962,0.0,0.0
0.0,1741188061.3740475,0.0,0.0
0.0,1741188061.3855839,0.0,0.0
0.0,1741188061.394897,0.0,0.0
0.0,1741188061.4040468,0.0,0.0
0.0,1741188061.4141612,0.0,0.0
0.0,1741188061.424191,0.0,0.0
0.0,1741188061.434024,0.0,0.0
0.0,1741188061.4440124,0.0,0.0
0.0,1741188061.4540823,0.0,0.0
0.0,1741188061.464013,0.0,0.0
0.0,1741188061.47406,0.0,0.0
0.0,1741188061.4846509,0.0,0.0
0.0,1741188061.4940157,0.0,0.0
0.0,1741188061.5042698,0.0,0.0
0.0,1741188061.5148191,0.0,0.0
0.0,1741188061.5240648,0.0,0.0
0.0,1741188061.5340815,0.0,0.0
0.0,1741188061.5440435,0.0,0.0
0.0,1741188061.5541887,0.0,0.0
0.0,1741188061.5643954,0.0,0.0
0.0,1741188061.5740585,0.0,0.0
0.0,1741188061.5840168,0.0,0.0
0.0,1741188061.59426,0.0,0.0
0.0,1741188061.6043925,0.0,0.0
0.0,1741188061.6141362,0.0,0.0
0.0,1741188061.6240487,0.0,0.0
0.0,1741188061.6340244,0.0,0.0
0.0,1741188061.6440694,0.0,0.0
0.0,1741188061.654649,0.0,0.0
0.0,1741188061.6651087,0.0,0.0
0.0,1741188061.6742997,0.0,0.0
0.0,1741188061.6860523,0.0,0.0
0.0,1741188061.694201,0.0,0.0
0.0,1741188061.705259,0.0,0.0
0.0,1741188061.7140303,0.0,0.0
0.0,1741188061.7250366,0.0,0.0
0.0,1741188061.734028,0.0,0.0
0.0,1741188061.7441938,0.0,0.0
0.0,1741188061.7540495,0.0,0.0
0.0,1741188061.7649808,0.0,0.0
0.0,1741188061.7745523,0.0,0.0
0.0,1741188061.7852983,0.0,0.0
0.0,1741188061.794197,0.0,0.0
0.0,1741188061.804098,0.0,0.0
0.0,1741188061.8140357,0.0,0.0
0.0,1741188061.8245976,0.0,0.0
0.0,1741188061.8403099,0.0,0.0
0.0,1741188061.848889,0.0,0.0
0.0,1741188061.8548799,0.0,0.0
0.0,1741188061.8640785,0.0,0.0
0.0,1741188061.874807,0.0,0.0
0.0,1741188061.8944101,0.0,0.0
0.0,1741188061.8958144,0.0,0.0
0.0,1741188061.9040422,0.0,0.0
0.0,1741188061.9141402,0.0,0.0
0.0,1741188061.924035,0.0,0.0
0.0,1741188061.9341688,0.0,0.0
0.0,1741188061.9440694,0.0,0.0
0.0,1741188061.9540436,0.0,0.0
0.0,1741188061.9640906,0.0,0.0
0.0,1741188061.9740694,0.0,0.0
0.0,1741188061.9841073,0.0,0.0
0.0,1741188061.994177,0.0,0.0
0.0,1741188062.0040712,0.0,0.0
0.0,1741188062.014196,0.0,0.0
0.0,1741188062.0242374,0.0,0.0
0.0,1741188062.0342953,0.0,0.0
0.0,1741188062.0440667,0.0,0.0
0.0,1741188062.0540688,0.0,0.0
0.0,1741188062.0640757,0.0,0.0
0.0,1741188062.0740926,0.0,0.0
0.0,1741188062.0841088,0.0,0.0
0.0,1741188062.0940506,0.0,0.0
0.0,1741188062.104036,0.0,0.0
0.0,1741188062.114066,0.0,0.0
0.0,1741188062.1240842,0.0,0.0
0.0,1741188062.1342087,0.0,0.0
0.0,1741188062.1440728,0.0,0.0
0.0,1741188062.1541028,0.0,0.0
0.0,1741188062.1652837,0.0,0.0
0.0,1741188062.174081,0.0,0.0
0.0,1741188062.1841283,0.0,0.0
0.0,1741188062.1940775,0.0,0.0
0.0,1741188062.2040827,0.0,0.0
0.0,1741188062.214068,0.0,0.0
0.0,1741188062.224213,0.0,0.0
0.0,1741188062.234311,0.0,0.0
0.0,1741188062.2440736,0.0,0.0
0.0,1741188062.2541215,0.0,0.0
0.0,1741188062.2642472,0.0,0.0
0.0,1741188062.2741,0.0,0.0
0.0,1741188062.2840703,0.0,0.0
0.0,1741188062.2949479,0.0,0.0
0.0,1741188062.304091,0.0,0.0
0.0,1741188062.3143206,0.0,0.0
0.0,1741188062.3241315,0.0,0.0
0.0,1741188062.334073,0.0,0.0
0.0,1741188062.3442607,0.0,0.0
0.0,1741188062.3541548,0.0,0.0
0.0,1741188062.3641982,0.0,0.0
0.0,1741188062.3743012,0.0,0.0
0.0,1741188062.3840947,0.0,0.0
0.0,1741188062.3943615,0.0,0.0
0.0,1741188062.404219,0.0,0.0
0.0,1741188062.4140675,0.0,0.0
0.0,1741188062.424135,0.0,0.0
0.0,1741188062.4341512,0.0,0.0
0.0,1741188062.4440856,0.0,0.0
0.0,1741188062.4541085,0.0,0.0
0.0,1741188062.4640734,0.0,0.0
0.0,1741188062.4741445,0.0,0.0
0.0,1741188062.4841015,0.0,0.0
0.0,1741188062.4941773,0.0,0.0
0.0,1741188062.5055487,0.0,0.0
0.0,1741188062.5140953,0.0,0.0
0.0,1741188062.5254521,0.0,0.0
0.0,1741188062.53408,0.0,0.0
0.0,1741188062.544099,0.0,0.0
0.0,1741188062.5542898,0.0,0.0
0.0,1741188062.564118,0.0,0.0
0.0,1741188062.5744224,0.0,0.0
0.0,1741188062.5840964,0.0,0.0
0.0,1741188062.5948524,0.0,0.0
0.0,1741188062.6040926,0.0,0.0
0.0,1741188062.6144547,0.0,0.0
0.0,1741188062.624549,0.0,0.0
0.0,1741188062.6343093,0.0,0.0
0.0,1741188062.645897,0.0,0.0
0.0,1741188062.6562479,0.0,0.0
0.0,1741188062.664566,0.0,0.0
0.0,1741188062.6743174,0.0,0.0
0.0,1741188062.684532,0.0,0.0
0.0,1741188062.6941302,0.0,0.0
0.0,1741188062.6941302,0.0,0.0
0.0,1741188062.7241528,0.0,0.0
0.0,1741188062.7342064,0.0,0.0
0.0,1741188062.7445574,0.0,0.0
